식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,Wi-Fi 사용,전화 번호,외국어 지원,영상,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,전원 공급 장치 사용,X (트위터),맥주 제작자,추가 장비,온라인 예약
マークマツオカグリル 中目黒 Mark Matsuoka Grill,마크 Matsuoka 그릴 Nakameguro 마크 Matsuoka 그릴,https://retty.me/area/PRE13/ARE7/SUB703/100001306489/,03-6451-2922,미트 바 카페 함부르크,"[태양, 월요일부터 금요일, 토요일]
 11:30-22:00
■ 점심 11 : 30-16 : 00
■ 저녁 식사 16 : 00-22 : 00 (L.O. 21:00)","불규칙한 휴일
불규칙한 휴일","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet","스즈보 빌딩 1f, 1-16-12 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (260m)
도쿄 도요코 라인 / 도이키 야마 역에서 도보로 8 분 (610m)
JR Yamanote Line / Ebisu Station 14 분 도보 (1.1km)","없음
근처 (할인 없음) 사용 가능",60 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",https://markmatsuoka.tokyo/nakameguro/,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 와인, 칵테일",사용 가능한 예약,"점심 모든-흠집 연회/음료 파티 개인 방 약혼 저녁 파티 싱글 OK Entertainment Farewell 파티를 환영 파티 체리 꽃보기/체리 꽃보기 레스토랑 크리스마스 저녁 식사 파티 새해 파티 마시는 와인
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
개방성이 있습니다
차분한 분위기
테라스가 있습니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다","예
상점 밖에서 이용 가능, 가죽 끈이 필요하며 물을 제공 할 수 있습니다.",없음,,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001306489/archive/2906486-6369372b2ec90.jpg,,,"전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크",,https://x.com/m_m_grill,,"프로젝터, TV 및 모니터, 오디오 장비",
REGIONALE,지역,https://retty.me/area/PRE13/ARE7/SUB703/100001234431/,03-5724-3638,이탈리아 바,"[Sun, 화요일, 금요일, 토요일]
점심 11:30-14:00
[tue-fri-sat]
저녁 식사 17:30-22:00",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",Amex,PayPay,,"1 층, Dimora Nakameguro, 4-8-12 Nakameguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro Station 14 분 도보 (1.1km)
JR Yamanote Line / Ebisu Station 15 분 도보 (1.2km)
도쿄 메트로 히비 야 라인 / 나카 메 구로 스테이션 15 분 도보 (1.2km)",,25 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 와인 음료, 저녁 식사, 쌀, 비 조화, 세련된 점심, 급여 지불 지불, 성인 날짜, 성인 연말 파티, 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/4513577.jpg,,https://www.facebook.com/regionale.jp,,,,,,
ASADOR DEL PRADO GRILL&CAFE,Asador del Prado Grill & Cafe,https://retty.me/area/PRE13/ARE7/SUB703/100001309775/,03-6452-2740,스페인 카페 햄버거,"[하루 종일]
 11:00-26:00 L.O. 25:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,,,"3-5-29 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (160m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (810m)
Tokyu Toyoko Line / Yutenji 역에서 도보 13 분 (990m)",,72 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://asador.jp/del-prado/,,,,,,"점심 모든-당신이 먹는 날짜 모든 날짜 싱글 링크 연회 및 음주 파티는 솔로 작별 파티를위한 파티를 환영합니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001309775/archive/1908288-5f7bbc1341bf4.jpg,,,,,https://x.com/asadordelprado,,,
中目黒ビストロボレロ,Nakameguro 비스트로 볼로로,https://retty.me/area/PRE13/ARE7/SUB703/100001216821/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中目黒いぐち 本店,Nakameguro Iguchi 메인 매장,https://retty.me/area/PRE13/ARE7/SUB703/100000718211/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nou,누,https://retty.me/area/PRE13/ARE7/SUB703/100001549609/,03-6303-0034,식당 비스트로 크리에이티브 요리,"[월요일 ~ 목요일]
 18:00-23:00
[금요일, 토요일, 휴일 전]
 17:00-0:00
[낮]
 17:00-23:00
하루에 방문하는 경우 더 쉽게 만들기 위해 저희에게 전화하십시오 ☆","불규칙한 휴일
불규칙한 휴일 : 12 월 -1 월 [11.18.26.30 -1 월 5 일]","점심:-
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"1-9-11-2F 히가시야마, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 9 분 (670m)
도쿄 도요코 라인 / 다이키 야마 역 13 분 도보 (1.0km)
Tokyu Denentoshi Line / Ikejiri Ohashi Station 14 분 도보 (1.1km)",없음,15 석,예,"불가능합니다
(상점 밖에서 이용 가능한 흡연 공간)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
최대 20 명까지 임대 할 수 있습니다",,,"8,000 엔 이상의 코스",우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 쇼치, 와인, 위스키",사용 가능한 예약,"날짜, 여자의 밤, 성인의 은신처, 와인을 마시고, 개인, 저녁 식사, 쌀, 흡연, 생일, 생일, 크래프트 맥주를 마실 수 있으며, 쇼치, 세련된, 세련된, 메리 크리스마스 2024
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",없음,,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001549609/archive/3476895-675805053889.jpg,https://www.instagram.com/nou_nakameguro/,,,예 (무료),,,,
nakameguro 燻製 apartment,나카 메 구로 훈제 아파트,https://retty.me/area/PRE13/ARE7/SUB703/100000724586/,03-5725-8391,식당 훈제 바,"[하루 종일]
저녁 식사 17:00-23:30 L.O. 22:30",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",Amex,PayPay,,"1-1-52 Nakameguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 5 분 (350m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 5 분 (390m)
JR Yamanote Line / Ebisu 역에서 도보로 8 분 (630m)",,50 석,"예
(5 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,,,,,,"데이트 소녀의 밤 전일-냉담한 그룹 데이트 결혼 기념일 개인 실
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000724586/archive/2029695-5f97dab28bbc4.jpg,,https://www.facebook.com/kunsei/,,,,,,
iro,Iro,https://retty.me/area/PRE13/ARE7/SUB703/100001677801/,03-6303-1860,카포/작은 레스토랑 크리에이티브 요리 일본 음식,"[하루 종일]
 17:00-24:00 L.O. 23:00
(식당이 완전히 예약되면 식당은 첫 번째 그룹 예약 시점부터 문을 엽니 다.)","불규칙한 휴일
12 월에 문을 닫았습니다
[4/8/11/16/16/25 위/19 일/26 일/30 일/31 일]","점심:-
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"Higashiyama Suzuboso 105, 1-9-13 Higashiyama, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 9 분 (700m)
Tokyu Denentoshi Line / Ikejiri Ohashi Station 13 분 도보 (1.0km)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 14 분 (1.1km)",없음,12 석,"예
(카운터에서 8 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",예,,"아이들은 개인 실에서만 환영합니다.
예약 할 때 알려주십시오.","8,000 엔 이상의 코스",우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,"술, 쇼치, 와인",사용 가능한 예약,"개인 실, 쌀, 저녁 식사, 엔터테인먼트, 세련된 개인 실, 개인 실, 엔터테인먼트, 데이트, 소녀의 밤, 결혼 기념일, 음료수, 음료 와인, 어린이, 개인 실, 비 흡연, 개인 실, 기념일, 기념일과 함께 즐기십시오
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001677801/archive/347397-6758ff446a28.jpg,,,,불가능합니다,,,,
Caldo NAKAMEGURO,Caldo Nakameguro,https://retty.me/area/PRE13/ARE7/SUB703/100001312835/,03-6635-6888,와인 바 바 스페인어,"[태양, 월요일부터 목요일까지]
 17:00-1:00 L.O. 24:00
[금과 앉았다]
 17:00-2:00 L.O. 1:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"3-5-29 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (200m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (840m)
Tokyu Toyoko Line / Yutenji 역에서 도보로 12 분 (950m)",,,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://bar-caldo.jp/,,,,,,"날짜, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인 마시기, 세련된, 저녁 식사, 쌀, 흡연 허용, 늦은 밤, 급여 지불, 세련된, 캐주얼
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/29900281.jpg,,,,,,,,
魚介バル いかり屋kitchen,해산물 바 Ikariya 주방,https://retty.me/area/PRE13/ARE7/SUB703/100000875068/,03-6451-2708,이자카야 피자 이탈리아 바 파스타 해산물/해산물 서양 음식 훈제 사시미,"[Sun, 화요일, 목요일, 휴일 전, 휴일 전]
 17:00-22:30 L.O. 22:00
[금과 앉았다]
 17:00-27:00 L.O. 26:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
★ 3 월 19 일부터 Cherry Blossom 시청 기간은 오후 4시에 열립니다! ★
★ 3/26, 3/27, 4/2 및 4/3에 오후 2시에 열립니다! ★","새해 휴일 (확인하십시오)
우리는 12 월 31 일부터 1 월 2 일까지 문을 닫습니다.","점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"2F, Actis Kamimeguro, 3-6-24 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (760m)
도쿄 도요코 라인 / 유텐지 스테이션 13 분 도보 (1.0km)",없음,"38 석
(카운터 좌석, 소파 좌석 이용 가능)",예,"불가능합니다
(외부에 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,"PayPay
""Meguro Local Shop Support Ticket""이 가능합니다!","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"싱글 링크 연회와 음주 파티 싱글 싱글 싱글 싱글 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 술집 음료 와인 어린이 스타일리시 한 저녁 식사
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기",,,예,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000875068/archive/100216-5848f8fe39475.jpg,,,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔, 2 시간 동안 싱글 링크, 2 시간 반 동안 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.",,,,,
へぎそば 匠中目黒本店,Hegisoba Takumi Nakameguro 메인 스토어,https://retty.me/area/PRE13/ARE7/SUB703/100000001661/,03-3760-0466,소바 (소바) 이자카야 해산물과 해산물 요리,"[Tue-Fri, Sat, Holidays, 축하 전]
저녁 식사 17 : 30-28 : 00 L.O. 27:00
[낮]
저녁 식사 17 : 30-23 : 00 L.O. 22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.",매주 월요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔",Amex,PayPay,,"Verde Nakameguro 1f, 3-5-5 Nakameguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 8 분 (570m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (850m)
JR Yamanote Line / Ebisu 역에서 도보로 12 분 (890m)",,42 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://www.takumi-hegisoba.net/,,,,,,"싱글 링크 파티 싱글 파티를위한 개인 방은 파티를 환영합니다. 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 새해 파티를 마시는 첫 번째 기차 저녁 식사 저녁 식사가 아닌 저녁 식사 비 스모킹 개인 실이 밤 늦게 열릴 때까지.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000001661/archive/2060907-5fa5013e8cfbb.png,,,,,,,,
韓国伝統料理ハヌリ 中目黒店,한국 요리 Hanuri Nakameguro 지점,https://retty.me/area/PRE13/ARE7/SUB703/100001571855/,050-5462-7343,한국 음식 이자카야 야키 니쿠,"[태양, 월요일부터 목요일까지]
저녁 11 : 30-24 : 00 L.O. 23:30
[월요일부터 금요일까지]
점심 11:30-16:00 L.O. 15:30
[금요일, 토요일, 휴일 전]
저녁 11 : 30-28 : 00 L.O. 27:30
[태양, 토요일, 휴일]
점심 11:30-15:30 L.O. 15:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"보석 Nakameguro 1f, 2-13-4 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (290m)
도쿄 도요코 라인 / Daikanyama 역에서 도보로 12 분 (910m)
Tokyu Toyoko Line / Yutenji 역에서 도보로 12 분 (920m)",없음,60 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,"[공식적인]
https://hanuri-nakameguro.foodre.jp/",,,,,사용 가능한 예약,"개인 룸 점심 저녁 식사 라이스 all-you-can-drink 싱글 패스 엔터테인먼트 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시기 와인 마시는 세련된 세련된 점심 새우 새우 쿠
다른 사용 장면을 참조하십시오",,,,,"예
상점 밖에서 사용할 수 있습니다",없음,03-6712-2808,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001571855/archive/3494185-677e78abe2460.jpg,https://www.instagram.com/hanuri_gr,https://www.facebook.com/tokyohanuri,,,,,,
草花木果,꽃 과일,https://retty.me/area/PRE13/ARE7/SUB703/100000061810/,03-5722-1055,이자카야 오키나와 요리,"[월요일부터 금요일과 토요일]
 17:00-1:00
[축하해요]
 17:00-0:00 L.O. 23:00
오후 11시 이후 전화로 예약하면 더 쉬울 것입니다.",,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Nanaco, Waon, Quicpay","2-7-11-2f Kamimeguro, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (700m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)","예
근처 (할인 없음) 사용 가능","54 석
((12 개의 개인 실, 18 개의 타타미 룸 (최대 22 석), 16 개의 테이블 좌석, 8 개의 카운터 좌석))))",예,"연기 분리
(흡연 또는 금연 좌석을 선택하더라도 요청을 충족시키지 못할 수 있습니다. 좌석을 예약하려면 직접 상점에 전화하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://sokabokka.foodre.jp/","*좌석 만 예약하는 경우
품목이 바쁘면 예약 시점부터 2.5 시간 일정 (2 시간 동안 마지막 순서)을 사용합니다. 이해 해주셔서 감사합니다.
위의 시간이 충분하지 않거나 좌석이있는 경우 상점에 직접 연락하십시오.
*흡연 또는 금연 좌석을 선택하더라도 귀하의 요청을 충족시키지 못할 수 있습니다.
좌석을 예약하려면 직접 상점에 전화하십시오.","4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.",,"맥주, Shochu, Awamori",사용 가능한 예약,"데이트 전일-마시는 연회/음료 파티 개인 방 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 어린이들과 함께 즐거운 주차장이 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,예,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000061810/archive/1706895-5ee03ae4a13f3.jpg,,,"4,000 엔에서 4,999 엔으로 인한 싱글 링크와 5,000 엔 이상을위한 모든 싱크 링크, 2 시간 동안 전세계 점점을 포함하는 코스가 포함 된 코스가 있습니다.",,,,,
