식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약,쇼핑 직무 정보,맥주 제작자,인근 시설
豚しゃぶ・やきとん 森の酒場隠豚,돼지 고기 안식일/야키톤 숲 바 숨겨진 돼지 고기,https://retty.me/area/PRE13/ARE1/SUB112/100001205508/,03-6304-5444,Izakaya Shabu Shabu Hot Pot Creative 요리,"[월요일부터 금요일까지]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-23:30 L.O. 23:00
[토양]
 16:00-23:30 L.O. 23:00
[새해 휴가 폐쇄] 12 월 31 일 -1 월 3 일",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"미적 정보 구축 B2, 1-24-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 (42m)
Toei Oedo Line / Tochomae Station에서 도보 2 분 (160m)
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (260m)","없음
근처 (할인 없음) 사용 가능","78 석
(개인 실 : 2 명, 4 명, 6 명, 8 명, 10-20 명, 20-30 명, 30 명 이상, 테이블 좌석, 소파 좌석 및 침몰 한 Kotatsu 좌석)",없음,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
임대 가능 (좌석) : 80 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명","https://inton-shinjukunishiguchi.com/
https://r.gnavi.co.jp/g175706/
https://tabelog.com/tokyo/a1304/a130401/13058970/",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","우리는 고기 요리에 대해 특히 알고 있으며, 생산 구역에 대해 특별하며 유기농 야채에 대해 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 모든 당신이 먹는 여자 파티 모든 당신이-린 링크 그룹 데이트 날짜 연회/음주 파티 개인 실
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성","예
유아와 어린 아이들이 허용되었습니다",불가능합니다,,없음,,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001205508/archive/1448679-5e410e95ec3bf.jpg,,"불가능합니다
(상점에 연락하십시오)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/inton.woo/,"ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 5,000 엔 이상, 3,000 엔 -3,999 엔 all-you-can-drink 코스에는 4,000 엔 -4,999 엔, 5,000-dink only for 5,000-dink only for 5,000-dink cours를 포함하여 모든 당신이 싱크 드링크가 포함되어 있습니다. 2 시간 동안 당신이 다루는 것",평상복,https://x.com/inton_woo,,,,,
御苑前 せお,Gyoenmae Seo,https://retty.me/area/PRE13/ARE1/SUB105/100000455679/,03-3353-2558,Kaiseki 요리 일본 요리 소바 (SOBA) 계절 요리,"[tue-fri/전 휴일 전]
 11:30-14:00 L.O. 13:30
 17:30-23:00 L.O. 21:30
[태양, 토요일, 휴일]
 11:30-14:30 L.O. 14:00
 17:30-22:30 L.O. 20:30",매월 셋째 화요일 매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex",PayPay,"Shinshin Building 1f, 1-3-5 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 기 얀마 스테이션에서 도보 1 분 (68m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 8 분 (610m)
Jr Chuo / Sobu Line / Sendagaya 역에서 도보 10 분 (760m)",,13 석,예,"예
4 명",,https://gyoenmae-seo.com/,,"6,000 엔에서 6,999 엔 코스, 8,000 엔 코스 이상으로 제공됩니다.","우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"점심 연회 및 음주 파티 개인 방 약혼 저녁 파티 싱글 OK Entertainment Farewell 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인 저녁 식사 쌀 비영리 개인 실 점심
다른 사용 장면을 참조하십시오",차분한 분위기,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/26163652.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/gyoenmae seo-173592582727605/,,,,,,,,
炭火焼肉ホルモン忠吉,숯 구이 야키 니쿠 호르몬 타요시,https://retty.me/area/PRE13/ARE1/SUB106/100000113068/,03-5388-8911,야키니쿠 호르몬 이자카야,"[하루 종일]
 17:00-23:00 L.O. 22:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"3-8-10 Honmachi, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Nishi-Shinjuku 5-Chome Station에서 도보로 2 분 거리 (120m)
Toei Oedo Line / Tochomae 역에서 도보로 10 분 (800m)
도쿄 메트로 마루치 노선 / 나카 노사 카우 스테이션에서 도보로 11 분 (880m)",없음,30 석,예,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명",https://chukichi.owst.jp,,,고기 요리 전문,맥주와 쇼치,,"연회 및 음주 파티 솔로 손님을위한 OK 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 새해 파티를 마시는 와인을 마시는 와인을 마시는 것입니다.
다른 사용 장면을 참조하십시오",활발한 상점,"놀라운 응답 가능
축하 가능성",예,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000113068/archive/2625753-620eeeee00bb54.jpg,"Suica, Rakuten Edy, Quicpay","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
生麺パッタイ専門店 新宿ディパッタイ,신선한 국수 패드 타이 스페셜티 스토어 신주쿠 디파드 타이,https://retty.me/area/PRE13/ARE1/SUB101/100001545939/,03-5367-5666,타이 요리 카페 식당 바 B 등급 국수 요리,"[하루 종일]
 11:00-15:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁:-",불가능합니다,,"신주쿠 나카 무라 야 (Shinjuku Nakamuraya) 빌딩 7F, 3-26-13 신주쿠, 신주쿠 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (18m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 1 분 (20m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 1 분 (58m)","없음
근처 (할인 없음) 사용 가능","46 석
(4 명을위한 9 개의 테이블 좌석, 10 개의 바 카운터)",예,없음,불가능합니다,,"""Thai Cuisine Shinjuku Rambutan""으로 저녁 시간에 개장했습니다.",,,이용 가능한 맥주,,"독신 사람들에게는 점심이 괜찮습니다. 주차 가능. 아이들과 함께 즐기십시오. 세련된 식사. 금연. 세련된 점심. 매우 매운.
다른 사용 장면을 참조하십시오","보기가 좋습니다
차분한 분위기",,예,불가능합니다,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2613644.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/dibpadthai0704/,,,평상복,https://x.com/namamenpadthai,,,,,
御苑前 せお,Gyoenmae Seo,https://retty.me/area/PRE13/ARE1/SUB105/100000455679/,03-3353-2558,Kaiseki 요리 일본 요리 소바 (SOBA) 계절 요리,"[tue-fri/전 휴일 전]
 11:30-14:00 L.O. 13:30
 17:30-23:00 L.O. 21:30
[태양, 토요일, 휴일]
 11:30-14:30 L.O. 14:00
 17:30-22:30 L.O. 20:30",매월 셋째 화요일 매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex",PayPay,"Shinshin Building 1f, 1-3-5 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 기 얀마 스테이션에서 도보 1 분 (68m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 8 분 (610m)
Jr Chuo / Sobu Line / Sendagaya 역에서 도보 10 분 (760m)",,13 석,예,"예
4 명",,https://gyoenmae-seo.com/,,"6,000 엔에서 6,999 엔 코스, 8,000 엔 코스 이상으로 제공됩니다.","우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"점심 연회 및 음주 파티 개인 방 약혼 저녁 파티 싱글 OK Entertainment Farewell 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인 저녁 식사 쌀 비영리 개인 실 점심
다른 사용 장면을 참조하십시오",차분한 분위기,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/26163652.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/gyoenmae seo-173592582727605/,,,,,,,,
猿田彦珈琲とティキタカアイスクリームのお店,Sarutahiko 커피와 티키타카 아이스크림 가게,https://retty.me/area/PRE13/ARE1/SUB112/100001359023/,03-6302-0570,카페 아이스크림 커피 전문점,"[하루 종일]
 8:00-22:30","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,,"1f, 루민 신주쿠 1-1-5 니시-신주쿠, 신주쿠-쿠, ​​도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku 역에서 도보로 1 분 (58m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 4 분 (260m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 4 분 (300m)",,13 석,예,없음,,https://sarutahiko.co/,,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 저녁, 쌀, 비 조화, 세련된 점심, 이브닝 카페
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36882853.jpg,Suica,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
名代 宇奈とと 新宿センタービル店,Meiyo Unatoto Shinjuku Center Building Store,https://retty.me/area/PRE13/ARE1/SUB112/100001212325/,03-5381-6969,엘 쌀 그릇 테이크 아웃,11 : 00-20 : 00,매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",Amex,PayPay,"신주쿠 센터 빌딩 B1F, 1-25-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (82m)
Toei Oedo Line / Tochomae Station에서 도보 2 분 (160m)
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보로 3 분 거리 (180m)","없음
근처 (할인 없음) 사용 가능",57 석,예,없음,불가능합니다,"https://www.unatoto.com/shop/shinjuku-center-bld/
http://www.scb-shop.com/shopguide/shop/10",,,,"맥주, 사케, 쇼치, 위스키",사용 가능한 예약,"싱글은 괜찮아, 주차 가능, 어린이와의 재미, 세련되고 맛있고 저렴한 레스토랑, 비 흡연, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",상업용 시설에 위치합니다,테이크 아웃 가능성,예,불가능합니다,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34327434.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/nadai_unatoto/,,,평상복,,,,,,
かど新,Kado New,https://retty.me/area/PRE13/ARE1/SUB112/100000091574/,03-3343-6698,해산물과 해산물 사시미,"[하루 종일]
 11:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,,"1-12-6 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (160m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (170m)
Toei Oedo Line / Tochomae 역에서 도보로 4 분 거리 (320m)",,,예,,,,,,,,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 흡연, 세련된 점심",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34703253.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
牛たんとろろ麦めし ねぎし 靖国通り店,"쇠고기 혀와 강판 보리 쌀, 녹색 양파, 야스쿠니 거리 지점",https://retty.me/area/PRE13/ARE1/SUB101/100000455416/,03-5292-0977,쇠고기 혀 스튜 다른 햄버거,"[월요일부터 금요일까지]
 11:30-23:45
[태양, 토요일, 휴일]
 11:00-23:45",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","Amex
JCB",PayPay,"Ishizuka Building 2F, 1-6-3 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (150m)
도쿄 메트로 마루치 라인 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (150m)
Jr Yamanote Line / Shinjuku Station에서 도보 2 분 (150m)",,57 석,예,없음,,https://www.negishi.co.jp/,,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 저녁 식사, 쌀, 고기, 금연, 지불금 지불 가능",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000455416/archive/1179435-5d9c03ef7a4b4.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
大衆酒場 鳥の素揚げほしの2号店,인기있는 바 Tori No Soage Hoshino No. 2 매장,https://retty.me/area/PRE13/ARE1/SUB104/100001536199/,03-6384-1034,이자카야,"[하루 종일]
 17:00-23:30 L.O. 23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 2,000 엔",,PayPay,"3f, 2nd Sigma Building, 3-7-5 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 1 분 (50m)
JR Yamanote Line / Shinjuku 역에서 도보로 6 분 (430m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 6 분 (440m)",,,예,없음,,,,,,,,"저녁 식사, 흡연은 급여 지불 지불이 허용되었습니다",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35653483.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/hoshinosecond/,,,,,,,,
小鳥,소조,https://retty.me/area/PRE13/ARE1/SUB101/100000945299/,080-5076-8401,이자카야 카포/작은 레스토랑,"[월요일부터 금요일과 토요일]
 18:00-26:00",매주 일요일,"점심:-
저녁 식사 : ~ 4,000 엔",불가능합니다,,"1f, 1-1-10 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 3 분 거리 (190m)
Jr Yamanote Line / Shinjuku Station에서 도보 4 분 (300m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 4 분 거리 (300m)",,9 석,"예
(9 석)",없음,,,,,,,,"저녁 식사, 흡연 허용, 늦은 밤에 문을 엽니 다",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/19772870.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
輝太郎,테루 타로,https://retty.me/area/PRE13/ARE1/SUB105/100001223081/,050-5786-9239,이자카야,"[하루 종일]
점심 11:00-15:00
저녁 식사 17:00-3:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",,PayPay,"1-14-9 신주쿠, 신주쿠-쿠, ​​도쿄 이시 바시 건물 1 및 2f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 기 얀마 스테이션에서 도보로 1 분 거리 (58m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 5 분 (400m)
Jr Chuo / Sobu Line / Sendagaya 역에서 도보로 12 분 (910m)",,,없음,없음,,,,,,,,"점심, 저녁, 쌀, 맛있고 저렴한 레스토랑, 흡연 허용, 늦은 밤, 지불금 지불 가능",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35513771.jpg,,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
四十八漁場 西新宿店,48 낚시 지역 Nishi-Shinjuku 지점,https://retty.me/area/PRE13/ARE1/SUB112/100000738280/,03-5348-5241,이자카야 해산물과 해산물 요리 일본 음식,"[월요일 ~ 목요일]
 17:00-23:30 L.O. 22:30
[일요일, 금요일, 토요일, 휴일 전]
 17:00-24:00 L.O. 23:00
[축하해요]
 17:00-23:00 L.O. 22:00
[Mon-Thu] 음식 lo22 : 30 음료 lo23 : 00
[금요일, 공휴일 전] 음식 lo23 : 00 음료 lo23 : 30
[Sun/Holidays] 음식 LO22 : 00 음료 LO22 : 30",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"신주쿠 미스 빌딩 1f, 7-8-3 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (220m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (290m)
JR Yamanote Line / Shinjuku Station에서 도보로 5 분 (330m)",,80 석,예,없음,예,https://www.48gyojyou.com/shop/35/,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","우리는 야채 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"아이들과 함께 즐길 수있는 마실 수 있습니다. 아이들과 함께 예약 할 수 있습니다
다른 사용 장면을 참조하십시오",,축하 가능성,예,,불가능합니다,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31943378.jpg,,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 : 3,000-4,999 엔 및 4,000-4,999 엔, all-you-can-drink 코스를 이용할 수 있으며 2 시간의 all-you-can-drink",없음,,,,,사포로,
