식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,요리 기능과 전문 분야,사용 장면,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,사적인,인스 타 그램,당신이 마실 수있는 모든 것,예약,서비스,강의,대기,마시는 기능과 세부 사항에 대한 관심,드레스 코드,발언,페이스 북,X (트위터),추가 장비,IC 카드 지불,맥주 제작자,인근 시설,key_1_営業時間,key_1_予算,key_1_クレジットカード,key_1_QRコード決済,key_1_ICカード決済,key_1_住所,key_1_アクセス,key_1_駐車場,key_1_座席,key_1_カウンター席,key_1_喫煙,key_1_個室,key_1_貸切,key_1_Instagram,key_1_Facebook,key_1_X(Twitter),key_1_備考,key_1_コース,key_1_飲み放題,key_1_料理の特徴・こだわり,key_1_ドリンクの特徴、こだわり,key_1_予約,key_1_利用シーン,key_1_雰囲気,key_1_サービス,key_1_ドレスコード,key_1_お子様連れ入店,key_1_ペット,key_1_電源利用,key_1_Wi-Fi利用,key_1_image,key_2_TEL,key_2_ジャンル,key_2_営業時間,key_2_定休日,key_2_予算,key_2_クレジットカード,key_2_住所,key_2_アクセス,key_2_カウンター席,key_2_個室,key_2_利用シーン
やきとり文楽,Yakitori Bunraku,https://retty.me/area/PRE13/ARE9/SUB901/100000065715/,03-3832-0319,Izakaya Yakitori Skewer Soba (Soba) 닭 요리,"[월요일부터 금요일까지]
 14:00-23:00
[토양]
 12:00-21:00
[낮]
 11:00-20:00","하루 종일 개점
· 새해 연말 연시","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,,"JR 고가 철도, 6-12-1 Ueno, Taito-Ku, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keisei Main Line / Keisei Ueno 역에서 도보 2 분 (130m)
JR Yamanote Line / Ueno 역에서 도보로 2 분 거리 (140m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 4 분 거리 (280m)",,50 석,예,,없음,,,"점심 연회와 음주 파티 싱글 OK 작별 파티를 환영 파티 연말 파티 새해 파티를 마실 수 있습니다. 술을 마실 수 있습니다. 세련된 식당/저렴한 레스토랑 세련된 점심 음료 Senbero.
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35638955.jpg,,,,,,,,,,,https://www.facebook.com/amesho.bunraku/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
居酒屋 東屋,이자카야 아스 수야,https://retty.me/area/PRE13/ARE9/SUB901/100000098506/,03-6315-7963,이자카야 사시미,"[월요일부터 금요일까지]
 15:00-24:00
[태양, 토요일, 휴일]
 12:00-22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"6-9-16 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 2 분 (150m)
Keisei Main Line / Keisei Ueno 역에서 도보로 3 분 거리 (200m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (240m)",,,예,,없음,,,"점심 연회와 음주 파티 싱글 싱글 파티를 환영 파티를 환영 파티 체리 꽃보기와 레스토랑 체리 블로 톰 시청 크리스마스 저녁 식사 연말 파티 새해 파티 세련된 저녁 식사 쌀 세련된 점심 급여 지불 이용 가능
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/9175477.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヤスキチ,야스 치치,https://retty.me/area/PRE13/ARE9/SUB901/100001064067/,03-5828-0801,이자카야 소바 (Soba) 튀김 카레,,,"점심:-
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"7-4-10 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보 2 분 (130m)
Keisei Main Line / Keisei Ueno 역에서 도보로 7 분 (500m)
도쿄 메트로 진 자 라인 / 도코 (도쿄) 역에서 도보로 7 분 거리 (510m)",,,없음,,예,,,"연회 및 음주 파티 개인 방 작별 파티를 환영합니다.
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/15640595.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
えんぱち,Enpachi,https://retty.me/area/PRE13/ARE9/SUB901/100000062453/,03-3836-4804,이자카야 야키토리 치킨 요리,"[월요일부터 금요일까지]
 14:00-23:30
[태양, 토요일, 휴일]
 12:00-23:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"6-9-22 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (150m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (150m)
JR Yamanote Line / Okachimachi Station 3 분 도보 (190m)","없음
근처 (할인 없음) 사용 가능",50 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,"점심, 개인 객실, 싱글 룸, 주차 가능, 어린이와 함께 즐거움, 세련된, 저녁 식사, 저녁, 맛있는 레스토랑, 싼 레스토랑, 흡연 허용, 개인 객실, 점심, 세련된 개인 객실, 점심을 마시는 것
다른 사용 장면을 참조하십시오",예,불가능합니다,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/26497816.jpg,불가능합니다,,,사용 가능한 예약,,,활발한 상점,"맥주, 사케, 쇼치, 와인, 위스키",평상복,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酒壷しずく,술 냄비를 마신다,https://retty.me/area/PRE13/ARE9/SUB901/100001158054/,명확하지 않습니다,바 사케 바,"[tue-fri-sat]
 19:00-24:00",매주 일요일마다,"점심:-
저녁 식사 : ~ 3,000 엔",예,,"2-29-4 Nezu, Bunkyo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 네즈 스테이션에서 도보로 4 분 (290m)
도쿄 메트로 치 요다 라인 / Sendagi Station에서 도보로 7 분 거리 (520m)
도쿄 메트로 남보쿠 라인 / 토다이마 역에서 도보로 9 분 (670m)",,,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"싱글 음료는 세련된 저녁 식사, 비 흡연",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/4761248.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥貴族 上野昭和通り店,Torikigure Ueno Showadori 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001241241/,03-5826-4388,야키토리,"[하루 종일]
 17:00-5:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"3f, 생명을 위해 Ueno Ekimae Building, 6-16-15 Ueno, Taito-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 1 분 (16m)
Keisei Main Line / Keisei Ueno 역에서 도보 3 분 (230m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 5 분 거리 (370m)",,68 석,예,,없음,,,첫 번째 기차 저녁 식사가 밤 늦게 개장 할 때까지 열립니다.,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/23319431.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やきとり 鳥笑 本店,야키토리 토리하 메인 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001239791/,03-5812-2030,야키토리,"[월요일부터 금요일까지]
 17:00-23:00
[토양]
 16:00-23:00",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"1f Ueno Anyu Building, 2-18-3 Higashi Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보 2 분 (98m)
도쿄 메트로 긴자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (230m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 3 분 거리 (230m)",,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"연회 및 음주 파티 싱글을위한 OK 작별 파티를 환영 파티 연말 파티 새해 파티 세련된 저녁 식사가 아닌 저녁 식사가 없음 Shochu는 음주 지불금 지불이 가능합니다.
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27623560.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カフェ・アート 東京都美術館店,카페 아트 도쿄 대도시 미술관 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001399716/,03-5832-5566,카페 서부 음식,"[하루 종일]
 9 : 30-17 : 30
각 상점은 스페셜 전시회에서 금요일 오후 8시에 문을 닫습니다.
(마지막 순서 : 오후 7:30; 살롱 전용 : 오후 7:00)","하루 종일 개점
박물관이 문을 닫았습니다","점심 : ~ 1,000 엔
저녁:-",Amex,PayPay,"1f, 8-36 Ueno Park, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno Station 7 분 도보 (520m)
Keisei Main Line / Keisei Ueno 역에서 도보로 9 분 (690m)
도쿄 메트로 치 요다 라인 / 네즈 스테이션에서 도보로 10 분 (730m)",,50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.seiyoken.co.jp/restaurant/tobikan/art.html,,"점심, 솔로, 브런치, 쌀, 금연, 세련된 점심, 급여 지불 지불 가능",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35662401.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
えんぱち,Enpachi,https://retty.me/area/PRE13/ARE9/SUB901/100000062453/,03-3836-4804,이자카야 야키토리 치킨 요리,"[월요일부터 금요일까지]
 14:00-23:30
[태양, 토요일, 휴일]
 12:00-23:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"6-9-22 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (150m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (150m)
JR Yamanote Line / Okachimachi Station 3 분 도보 (190m)","없음
근처 (할인 없음) 사용 가능",50 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,"점심, 개인 객실, 싱글 룸, 주차 가능, 어린이와 함께 즐거움, 세련된, 저녁 식사, 저녁, 맛있는 레스토랑, 싼 레스토랑, 흡연 허용, 개인 객실, 점심, 세련된 개인 객실, 점심을 마시는 것
다른 사용 장면을 참조하십시오",예,불가능합니다,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/26497816.jpg,불가능합니다,,,사용 가능한 예약,,,활발한 상점,"맥주, 사케, 쇼치, 와인, 위스키",평상복,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヤスキチ,야스 치치,https://retty.me/area/PRE13/ARE9/SUB901/100001064067/,03-5828-0801,이자카야 소바 (Soba) 튀김 카레,,,"점심:-
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"7-4-10 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보 2 분 (130m)
Keisei Main Line / Keisei Ueno 역에서 도보로 7 분 (500m)
도쿄 메트로 진 자 라인 / 도코 (도쿄) 역에서 도보로 7 분 거리 (510m)",,,없음,,예,,,"연회 및 음주 파티 개인 방 작별 파티를 환영합니다.
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/15640595.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山内農場 上野中央通り店,Yamauchi Farm Ueno Chuodori 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001376016/,03-3834-4588,Izakaya 치킨 요리 Kyushu 요리,,,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,,"Suzumoto Building, 5 층, 2-7-12 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 2 분 거리 (110m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (110m)
Keisei Main Line / Keisei Ueno 역에서 도보 2 분 (130m)",,159 석,,"예
(흡연은 부스에서만 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.monteroza.co.jp/shop.html?shop=859244,,당신이 냉담한 흡연 흡연은 모두 당신을 먹을 수있는 wi-fi drink shochu를 허용합니다.,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001376016/archive/845877-acb355b63f46.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和食と和の酒 火の花,"일본 요리와 일본 술, 불 꽃",https://retty.me/area/PRE13/ARE9/SUB901/100001449752/,03-6806-0309,카포/작은 레스토랑 해산물/해산물 요리 일본 음식 이자카야,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:00
[토요일/휴일]
저녁 식사 15:00-23:00 L.O. 22:00
팔리 자마자 끝납니다","매주 일요일
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Ueno Higashijin Building B1F, 1-16-22 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 3 분 (180m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 3 분 거리 (210m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (210m)","없음
근처 (할인 없음) 사용 가능","27 석
((12 개의 카운터 좌석, 5 개의 테이블 좌석, 10 개의 타타미 좌석) *테이블 충전은 1 인당 550 엔으로 청구됩니다.","예
(테이블 요금은 1 인당 550 엔으로 청구됩니다.)","불가능합니다
(흡연 분리기 : 카운터 시트, 테이블 시트, 흡연 및 비 금연 좌석을 이용할 수 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",https://tabelog.com/tokyo/a1311/a131101/13225032/,"우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 주인 요리사 및 매장 준비에 특별합니다.","싱글 링크 연회/음주 파티 개인 실
다른 사용 장면을 참조하십시오","예
미취학 아동이 허용되며 초등학생은 허용됩니다",불가능합니다,예 (무료),없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001449752/archive/2217609-6022803fa10e7.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
최대 28 명까지 임대 할 수 있습니다",,"ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 5,000 엔 이상의 링크를 포함한 코스, 2 시간 동안 모든 잉크 링크, 2 시간 반 동안 싱글 링크를 포함하여 3 시간 이상 만약을 3 시간 이상",사용 가능한 예약,"놀라운 응답 가능
축하 가능성","3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","조용한 가게
차분한 분위기
숨는 곳","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",,*테이블 요금은 1 인당 500 엔으로 청구됩니다,https://www.facebook.com/hinohana.okachimachi,https://x.com/hinohana6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヤスキチ,야스 치치,https://retty.me/area/PRE13/ARE9/SUB901/100001064067/,03-5828-0801,이자카야 소바 (Soba) 튀김 카레,,,"점심:-
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"7-4-10 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보 2 분 (130m)
Keisei Main Line / Keisei Ueno 역에서 도보로 7 분 (500m)
도쿄 메트로 진 자 라인 / 도코 (도쿄) 역에서 도보로 7 분 거리 (510m)",,,없음,,예,,,"연회 및 음주 파티 개인 방 작별 파티를 환영합니다.
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/15640595.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
稲荷屋,이나리 야,https://retty.me/area/PRE13/ARE9/SUB901/100001202503/,03-3841-9990,"라면, 소금라면, 중국 요리","[월요일부터 금요일, 토요일, 휴일 전]
 11:00-23:00
[일요일과 휴일]
 11:00-21:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"시마다 빌딩 1f, 2-10-13 모토 아사쿠사, 타이토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 /이나 리코 (도쿄) 역에서 도보로 3 분 거리 (200m)
Tsukuba Express / Shin-Okachimachi Station에서 도보로 6 분 (470m)
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보로 9 분 (650m)",,"19 석
(9 개의 카운터 좌석, 10 개의 테이블 좌석)","예
(카운터에서 9 석)","불가능합니다
(흡연 없음 (11 : 00-14 : 00))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"점심, 솔로, 음료 와인, 세련된, 저녁 식사, 맛있고, 싸고, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27947614.jpg,,,,,,,,,,,https://www.facebook.com/pages/%E7%A8%B2%E8%8D%B7%E5%B1%8B/13888877934752254,https://x.com/q7s3wqx52uskxoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熊ぼっこ,곰 바스킹,https://retty.me/area/PRE13/ARE9/SUB901/100001100646/,03-3832-8637,라면 중국 음식 gyoza,,,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",,PayPay,"1-1-11 Higashiueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Shin-Okachimachi Station에서 도보로 2 분 거리 (110m)
도쿄 메트로 긴자 라인 / 도코 (도쿄) 역에서 도보로 5 분 거리 (390m)
도쿄 메트로 히비야 라인 / 나카 오카카시 마치 역에서 도보 8 분 (610m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,연회 및 음주 파티 작별 파티를 환영 파티 연말 파티 새해 파티를 마실 수 있습니다.,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35832132.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黒門市場,쿠로몬 시장,https://retty.me/area/PRE13/ARE9/SUB901/100000098698/,03-3834-9618,이자카야 중국 요리 gyoza 볶음밥 야키소바,"[월요일부터 금요일까지]
 17:00-24:30 L.O. 23:30
[토양]
 17:00-23:00 L.O. 22:00",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-16-12 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보 2 분 (110m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 4 분 거리 (260m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 4 분 거리 (260m)",,50 석,예,,예,,,개인 객실은 와인 저녁 식사 저녁 식사를 즐기십시오. 맛있는 레스토랑과 저렴한 레스토랑 후 파티,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35494013.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回転寿司 江戸ッ子 上野駅前店,컨베이어 벨트 초밥 Edoko Ueno Ekimae 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001361891/,03-5846-8455,컨베이어 벨트 초밥 해산물과 해산물 요리 이자카야 사시미,"[월요일부터 금요일까지]
 11:00-23:00
[토양]
 11:00-22:30
[일요일과 휴일]
 11:00-22:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6-12-12 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 1 분 (53m)
Keisei Main Line / Keisei Ueno 역에서 도보로 2 분 거리 (120m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 5 분 (360m)",,"28 석
(1 층의 카운터에서 14 석, 2 층의 테이블에서 14 석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://edokko.co.jp/b/mise/kaiten-uenoekimae/kaiten-uenoekimae.htm,생선 요리 전문,"점심은 단일 용도로 괜찮으며, 어린이와 함께 즐기고, 세련되고, 영어를 구사할 수 있으며, 개인 용도, 저녁 식사, 쌀, 비 흡연, 세련된 점심, 무료 Wi-Fi, PayPay Paylaintaival 이용 가능
다른 사용 장면을 참조하십시오",예,불가능합니다,,예,,"영어 중국어 한국
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17595125.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
예약 할 수있는 제한된 수의 사람들 : 15 명",,,사용 가능한 예약,,,,"맥주, 사케, 쇼치, 위스키",없음,,,,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
