식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,사용 장면,영상,QR 코드 결제,주차,사적인,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,대기,서비스,아이들이 들어 오세요,맥주 제작자,추가 장비,페이스 북,당신이 마실 수있는 모든 것,애완 동물,Wi-Fi 사용,외국어 지원,IC 카드 지불,인스 타 그램,드레스 코드,전화 번호,발언,전원 공급 장치 사용,X (트위터),지역
パークサイドダイナー,파크 사이드 식당,https://retty.me/area/PRE13/ARE2/SUB202/100000002058/,03-3539-8046,"서양식 음식, 팬케이크, 햄버거, 쌀 그릇, 라운지","[하루 종일]
 6:00-23:00 L.O. 23:00","하루 종일 개점
자세한 업무 시간은 공식 웹 사이트를 확인하십시오","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔",예,"1-1-1 Uchisai-cho, Chiyoda-Ku, 도쿄 제국 호텔 도쿄 메인 빌딩 1f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 2 분 거리 (150m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (150m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보로 5 분 (370m)",3 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://www.imperialhotel.co.jp/tokyo/restaurant/parkside-diner,"점심, 데이트, 결혼 기념일, 개인 실, 싱글 룸, 크리스마스 저녁 식사, 와인 브런치, 세련된, 아침 식사, 저녁 식사, 쌀, 비 흡연, 생일, 개인 객실 점심, 개인 객실 날짜
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35575088.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,유라쿠초
ザ・ロビー ザ・ペニンシュラ東京,로비 도쿄 반도,https://retty.me/area/PRE13/ARE2/SUB202/100000002882/,03-6270-2888,카페 서부 푸드 팬케이크 과자 샌드위치,"[태양, 월요일부터 목요일까지]
 6:30-23:00
[금과 앉았다]
 6:30-24:00","하루 종일 개점
아침 식사 06 : 30-11 : 00
점심 11 : 30-14 : 30
애프터눈 티 14 : 30-21 : 00
저녁 18 : 00-22 : 00

칵테일 시간
[태양에서 thu] 22 : 00-23 : 00
[Fri and Sat] 22 : 00-24 : 00","점심 : ~ 5,000 엔
저녁 식사 : ~ 8,000 엔",예,"한반도 도쿄 1f, 1-8-1 유라 커코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho Station에서 도보로 1 분 (23m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (24m)",100 석,없음,"불가능합니다
(흡연은 상점 내부에서 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.peninsula.com/tokyo/jp/dining/the_lobby/default.aspx,"점심, 데이트, 여자 밤, 싱글, 엔터테인먼트, 체리 꽃보기, 체리 꽃보기, 크리스마스 저녁 식사, 와인, 주차, 어린이와 함께 즐거운, 브런치, 세련된, 아침 식사.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35426492.jpg,,"예
특별 P 사용 가능",,,,와인과 칵테일이 있습니다,사용 가능한 예약,,"놀라운 응답 가능
축하 가능성",예,,,,,불가능합니다,,,,,평상복,,,,,유라쿠초
JSレネップ,JS Renep,https://retty.me/area/PRE13/ARE2/SUB202/100000004240/,03-3595-0417,독일 요리 맥주 홀 Izakaya 바,"[월요일 ~ 목요일]
 16:00-23:30 L.O. 22:45
[금]
 16:00-26:00 L.O. 25:30
[태양, 토요일, 휴일]
 12:00-23:30 L.O. 22:45",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","JR 고위 철도 2-1-8 Yurakucho, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (120m)
JR Yamanote Line / Yurakucho Station (120m)에서 도보로 2 분
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (170m)",100 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 공간, 저녁 식사, 쌀, 흡연 허용, 세련된 점심, 밤 늦은 밤에 열립니다.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30429615.jpg,PayPay,없음,"예
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.",,와인과 칵테일이 있습니다,사용 가능한 예약,,"놀라운 응답 가능
축하 가능성",,,,https://www.facebook.com/pages/js renep/158075780870462,,,,,,,,,,,,유라쿠초
TexturA,텍스트,https://retty.me/area/PRE13/ARE2/SUB202/100001477729/,03-6259-1144,창조적 인 요리 중국 요리 스페인 요리 테이크 아웃 카페,"[Sun, 화요일, 금요일, 토요일 및 휴일]
 11:00-23:00
높은 캐주얼 캐주얼 식당 지역
점심 점심 11 : 00-14 : 00 lo13 : 30
카페 카페 14 : 00-17 : 00 LO16 : 00
저녁 식사 17 : 00-23 : 00 LO22 : 00

고급 레스토랑 공간
점심 점심 12 : 00-15 : 00 LO13 : 00
저녁 18 : 00-23 : 00 (20:30에서 마지막)",매주 월요일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB","Yurakucho Electric Building 1f, 1-7-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (31m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (33m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (180m)",,,,,https://whaves.co.jp/textura/,"점심, 데이트, 소녀의 밤, 싱글, 엔터테인먼트, 체리 꽃보기, 체리 꽃보기, 크리스마스 저녁 식사, 와인, 세련된 저녁, 저녁 식사, 생일, 점심 데이트, 여자 밤, 세련된 점심.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/37022969.jpg,,,,,,,,,,,,,https://www.facebook.com/hirofumi.saitoo,,,,,,https://www.instagram.com/hirofumi.saitoo/,,,,,,유라쿠초
醍醐 有楽町店,Daigo Yurakucho 매장,https://retty.me/area/PRE13/ARE2/SUB202/100000746370/,03-3596-1129,야키니쿠 쇠고기 요리,"[하루 종일]
 11:30-14:30 L.O. 14:00
[월요일부터 금요일까지]
 17:00-23:00 L.O. 22:20
[태양, 토요일, 휴일]
 17:00-22:00 L.O. 21:20",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",Amex,"1-6-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (24m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (25m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (190m)",50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://yakiniku-daigo.com/shop_info/yurakucho/,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 세련된 저녁 식사, 저녁 식사, 쌀, 고기, 비 흡연, 생일, 세련된 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2553122.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,신용 카드 : 저녁 식사 만 가능합니다,,,유라쿠초
いちにぃさん 日比谷店,Ichini-San Hibiya 상점,https://retty.me/area/PRE13/ARE2/SUB202/100000059481/,03-3501-3123,"Shabu-Shabu, Rice Bowl, Sashimi, Pork Cutlet, Soba (Soba)","[월요일부터 금요일과 토요일]
 11:00-22:30 L.O. 21:15
[일요일과 휴일]
 11:00-21:30 L.O. 20:45","하루 종일 개점
연말 제외","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Chiyoda Building 2f Kagoshima Yurakukan, 1-6-4 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (18m)
JR Yamanote Line / Yurakucho Station에서 도보로 1 분 (18m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (170m)",80 석,"예
(14 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://ichiniisan.jp/access/hibiya/,"점심, 솔로, 크리스마스 저녁, 세련된 저녁 식사, 저녁 식사, 쌀, 비 조화, 세련된 점심, 쇼치, 지불금 지불 가능
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/26701504.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,유라쿠초
Buvette,BUVETTE,https://retty.me/area/PRE13/ARE2/SUB202/100001410679/,03-6273-3193,식당 바 와인 바 카페,"[월요일부터 금요일까지]
 8:00-23:30
[태양, 토요일, 휴일]
 9:00-23:30","하루 종일 개점
[예약에 관한]
점심과 저녁 모두에 예약이 불가능합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔",예,"도쿄 미드 타운 Hibiya 1f, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (72m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (74m)",115 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://www.hibiya.tokyo-midtown.com/jp/restaurants/10800/,"점심, 데이트, 여자의 밤, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 와인 브런치, 세련된, 아침 식사, 저녁 식사, 저녁 식사, 비영리, 개인 객실 날짜
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36250136.jpg,,,,,,,,,,,,,,,,,,,https://www.instagram.com/buvettetokyo/,,,,,,유라쿠초
四万十川 銀座,Shimanto River Ginza,https://retty.me/area/PRE13/ARE2/SUB202/100001466718/,050-5262-8439,이자카야 테이크 아웃 스시,"[하루 종일]
저녁 식사 16:00-23:00 L.O. 22:00",*새해 공휴일 동안 영업일 및 시간이 바뀔 수 있습니다.,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","Shinkansen 고가 트랙 아래 건물 1F, 2-1-21 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 2 분 거리 (99m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (110m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보 2 분 (130m)","114 석
(타타미 좌석 이용 가능 / Horikotatsu 좌석 이용 가능)",예,"불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"https://www.dd-holdings.jp/brands/shimantogawa/
https://www.dd-holdings.jp/shops/shimantogawa/yurakucho#/
https://www.dd-holdings.jp/brands?company=1","데이트, 저녁 식사, 저녁 식사, 저녁, 술, 점심 날짜, 세련된, 아이들과 함께 즐기고, 혼자서, 쿠폰을 이용할 수 있고, 새해 파티, 세련된
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001466718/archive/2225218-602b2e9ec28d3.jpg,,없음,불가능합니다,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.",,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"풍경은 아름답습니다
차분한 분위기",,예,,,https://www.facebook.com/dd.shimanto.yurakucho/,"5,000 엔 이상을 사용할 수 있습니다",,예,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon",,,03-3591-5202,"다른 지불 방법
카드 : UnionPay
전자 돈 : ID
QR 지불 : Paypay, Rakuten Pay, DPay, Aupay, Merpay, Wechatpay, Alipay, Bank Pay",,,유라쿠초
バインセオ サイゴン 有楽町店,Vintheo Saigon Yurakucho,https://retty.me/area/PRE13/ARE2/SUB202/100000001334/,03-3211-0678,베트남 요리 Okonomiyaki 옥수수 칠리 요리 커리 젤리 음식 마구간 야키소바,"[하루 종일]
 11:00-23:00 L.O. 22:30","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,"Yurakucho Itosia Food Avenue B1F, 2-7-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (77m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (77m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 2 분 (120m)","35 석
(31 개의 테이블 좌석, 4 개의 카운터 시트)",예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://vietnam-banhxeo.com/,"점심, 솔로, 세련된, 저녁 식사, 금연, 세련된, 점심, 급여 지불 지불 가능",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30834073.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,유라쿠초
パティスリー&カフェ デリーモ 東京ミッドタウン日比谷店,Patisserie & Cafe Delimo 도쿄 미드 타운 Hibiya 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001410829/,03-6206-1196,카페 과자 초콜릿,"[하루 종일]
 11:00-23:00 L.O. 22:00","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",,"도쿄 미드 타운 Hibiya B1F, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (72m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (75m)",50 석,,,,https://de-limmo.jp/,"점심, 솔로, 체리 꽃보기, 체리 꽃보기와 함께 레스토랑, 와인, 세련된, 저녁, 쌀, 세련된 점심, 이브닝 카페
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35461978.jpg,,,,,,,,,,,,,,,,,,,,,,,,,유라쿠초
春秋ツギハギ 日比谷,봄과 가을 Hibiya,https://retty.me/area/PRE13/ARE2/SUB202/100000010835/,050-5304-5857,일본 음식 테이크 아웃,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 13:30
저녁 식사 17:00-22:30 L.O. 21:30
[태양, 토요일, 휴일]
점심 11:30-15:00 L.O. 13:30
저녁 식사 17:00-22:00 L.O. 21:00","하루 종일 개점
∎ 새해 휴가 중 닫기 ・ 첫 번째 일요일에 저녁 식사를 위해 문을 닫았습니다.","점심 : ~ 4,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB","Nissei Building B1F, 1-1-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (33m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (36m)","275 석
(테이블 좌석, 소파 좌석, 스시 카운터 시트, 완전히 개인 실, 반 개인 객실, 50 명 이상을위한 대형 개인 객실)","예
(스시 카운터)","예
흡연실 사용 가능
(흡연은 점심 시간 동안 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","https://shunjutsugihagi-hibiya.foodre.jp/
http://www.shunju.com/ja/restaurants/tsugihagi/","싱글은 저녁, 점심, 점심, 데이트, 개인 실, 저녁 식사, 고기, 엔터테인먼트, 와인, 페이 페이 포인트, 연말 파티, 새해 파티에 적합합니다.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000010835/archive/2465389-612cbc9df0ec5.jpg,,예,예,,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"차분한 분위기
숨는 곳",,"불가능합니다
유아 및 어린이, 유치원 어린이, 초등학생 및 어린이 메뉴 이용 가능",,프로젝터와 휴대품 룸이 있습니다,,,불가능합니다,예,,,,,03-3595-0511,,,,유라쿠초
お好み焼・鉄板焼き 88 有楽町本店,Okonomiyaki/Teppanyaki 88 Yurakucho Main Store,https://retty.me/area/PRE13/ARE2/SUB202/100000045419/,03-6425-7188,"Okonomiyaki, Teppanyaki, Takeout, Izakaya, Yakisoba, 프렌치 토스트","[월요일부터 금요일까지, 휴일 전]
저녁 식사 16:00-24:00 L.O. 23:00
[태양/토요일]
저녁 11 : 30-23 : 00 L.O. 22:00",휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"1-2-4 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (83m)
JR Yamanote Line / Yurakucho 역에서 도보로 2 분 거리 (84m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (190m)",52 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,"점심, 데이트, 소녀의 밤, 연회 및 음주 파티, 개인 실, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 세련된, 저녁 식사, 쌀, 비 흡연, 개인 객실 날짜, 점심 날짜, 점심 날짜
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36763616.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,유라쿠초
慶屋,KEIYA,https://retty.me/area/PRE13/ARE2/SUB202/100000705296/,03-522-8262,"Curry Udon, Rice Bowl, Soba (Soba), Udon, Tempura","[월요일부터 금요일까지]
 11:00-23:30
[태양, 토요일, 휴일]
 11:00-19:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"2-4-11 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (50m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (51m)
도쿄 메트로 진 자 라인 / Ginza Station에서 도보 2 분 (88m)",7 석,"예
(카운터 만)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된, 점심",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36420158.jpg,,,,,,,,,,,,,,,,,,,,,,,,,유라쿠초
