식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,페이스 북,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,사용 장면,대기,서비스,Wi-Fi 사용,전화 번호,영상,IC 카드 지불,사적인,발언,예약,아이들이 들어 오세요,전원 공급 장치 사용,인스 타 그램,X (트위터),외국어 지원,드레스 코드,애완 동물,추가 장비
目黒リパブリック Burger&Beer,메 구로 공화국 버거 및 맥주,https://retty.me/area/PRE13/ARE13/SUB704/100000012376/,03-3441-6181,햄버거 바 크래프트 맥주 바,"[월요일 ~ 목요일]
 17:00-23:30
[금]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-23:30 L.O. 23:00
[태양, 토요일, 휴일]
 11:30-23:30 L.O. 23:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex",PayPay,"Obater Building B1F, 3-3-1 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (200m)
도쿄 메트로 Namboku Line / Shirokanedai Station에서 도보로 12 분 (930m)
JR Yamanote Line / Gotanda Station 13 분 도보 (1.0km)",없음,38 석,"예
(10 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://atcf.jp/shop/megurorepublic/,https://www.facebook.com/atcf.megurorepublic/,,,고기 요리 전문,"맥주, 와인, 위스키, 칵테일","점심, 연회 및 음주 파티, 싱글은 괜찮아, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 어린이와 함께 즐거운 저녁 식사, 세련된 저녁 식사, 저녁 식사, 비영리, 세련된 점심, 무료 WiFi, 크래프트 맥주 즐기기
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점",소믈리에가 있습니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000012376/archive/2486336-61502d05568b3.jpg,,,,,예,불가능합니다,,,,없음,불가능합니다,TV 및 모니터 사용 가능
もんぱち,몬파치,https://retty.me/area/PRE13/ARE13/SUB704/100000735332/,03-6421-7660,이자카야,"[Sun, 화요일, 금요일, 토요일 및 휴일]
점심 12:00-14:00
저녁 18 : 00-24 : 00","매주 월요일
(다 떨어지 자마자 끝납니다)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,PayPay,"5-1-16 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae 역에서 도보 2 분 (130m)
JR Yamanote Line / Meguro 역에서 도보 10 분 (800m)
JR Yamanote Line / Gotanda Station 12 분 도보 (910m)",,16 석,예,"예
(완전 흡연 허용)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"점심 모든 당신이 마시는 연회와 음주 파티 싱글 싱글 OK 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인 저녁 식사 쌀 흡연 허용 shochu 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000735332/archive/805906-5c9ddaef71f0c.jpg,,,,,,,,,,,,
ニュービストロガブリ 目黒店,새로운 비스트로 가브리 메 구로 매장,https://retty.me/area/PRE13/ARE13/SUB704/100001504713/,03-5793-1421,와인 바 비스트로 햄버거,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
점심 11:30-15:00 L.O. 14:30
[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:30-22:30 L.O. 21:30
[토요일/휴일]
저녁 식사 17:00-22:00 L.O. 21:00
위의 영업 시간은 2022 년 3 월 7 일부터 변경됩니다.
협력 해 주셔서 감사합니다.","매주 일요일
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Aqua Meguro B1F, 3-2-9 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (170m)
Tokyu Meguro Line / Fudomae 역에서 도보로 12 분 (960m)
도쿄 메트로 남보쿠 라인 / 시로 카네이 스테이션에서 도보 13 분 (980m)",없음,66 석,"예
(13 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://a023351.gorp.jp/,,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","4,000 엔에서 4,999 엔, 3 시간 이상 동안 온 탁월한 링크가 포함 된 과정이 있습니다.","우리는 고기 요리에 대해 특별히 있으며, 생산 구역에 특히 특히 알레르기가있는 고객을 수용 할 수 있습니다.",,"점심 싱글 싱글 엔터테인먼트 성인 파티 성별 파티 환영 파티 크리스마스 저녁 파티 새해 마시는 와인을 마시는 와인 세련
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳","놀라운 응답 가능
축하 가능성",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001504713/archive/1148180-5d782b47a0ff7.jpg,,,PayPay를 사용할 수 있습니다.,,"예
아이들은 환영합니다, 유치원 어린이는 환영 받고, 초등학생은 환영 받고, 기저귀를 가져올 수 있고, 이유식을 가져올 수 있고, 이유식을 수용 할 수 있고, 알레르기 음식을 수용 할 수 있습니다",,https://www.instagram.com/gaburi_meguro/,,,,,TV 및 모니터 사용 가능
ITOHya coffee shop,Itohya 커피 숍,https://retty.me/area/PRE13/ARE13/SUB704/100000086687/,03-3491-4194,"카페, 커피 숍, 샌드위치","[월요일부터 금요일과 토요일]
 8:00-22:00 L.O. 21:30
[일요일과 휴일]
 8:00-19:00 L.O. 18:30",매년 1 월 1 일에 문을 엽니 다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"1F Cesar Meguro Building, 1-2-22 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (200m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (920m)
JR Yamanote Line / Gotanda Station 17 분 도보 (1.3km)",,44 석,"예
(5 석)","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 저녁, 쌀, 흡연, 세련된, 점심, 이브닝 카페, 캐주얼
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34049915.jpg,,,,,,,,,,,,
日本酒 ほろよい党 目黒,Horoyoi 파티 메 구로를 산,https://retty.me/area/PRE13/ARE13/SUB704/100000047398/,03-3446-0641,Izakaya 일본 요리 가라이지,"[월요일부터 금요일까지]
 18:00-1:30 L.O. 1:00
자세한 내용은 공식 웹 사이트를 확인하십시오.
[토요일 및 공휴일] 민간 사업 만 제공됩니다.","매주 일요일
월요일이 공휴일이면 일요일에 문을 엽니 다","점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드",PayPay,"102 Green View Platinum 2-13-45 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (130m)
도쿄 메트로 남보쿠 라인 / 시로 카네이 스테이션에서 도보 13 분 (980m)
도쿄 메 구로 라인 / 푸 도마 스테이션 14 분 도보 (1.1km)",예,"25 석
(표 : 20 석, 카운터 : 5 석)","예
(5 석)","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.horoyoitou.jp/,https://www.facebook.com/horoyoitou/,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","전산 된 점점 : 2,000-2,999 엔, all-you-can-drink 가격 : 3,000-4,999 엔","우리는 고기 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치","연회 및 음주 파티, 솔로 작별 파티, 환영 파티, 연말 파티, 새해 파티, 음료수, 세련된, 개인 공간, 저녁 식사, 쌀, 맛있고 저렴한 레스토랑, 흡연 허용, 무료 Wi-Fi, Shochu, Paypay Paylains
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다",배송 가능,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000047398/archive/3295205-662759724034e.jpg,,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명",,사용 가능한 예약,,,https://www.instagram.com/horoyoitou/,https://x.com/meguro_horoyoi,,,,
teppan仁六,Teppan Jinroku,https://retty.me/area/PRE13/ARE13/SUB704/100000010945/,03-5496-0069,오코노미 야키이자 카야,"[월요일부터 금요일까지]
 18:00-1:00 L.O. 24:30
[토요일/휴일]
 18:00-24:00 L.O. 23:30","매주 일요일
월요일 전에 일요일에 문을 열고 월요일에 문을 닫습니다.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Myeongdong Building 7f, 1-6-16 Meguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 6 분 (440m)
Tokyu Meguro Line / Fudomae 역에서 도보 13 분 (980m)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",,25 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://niroku26.com/,,,,,,"여자의 밤은 독신 성인, 크리스마스 저녁 식사, 세련된, 저녁, 쌀, 비 흡연, 급여 지불 지불, 캐주얼, 성인 연말 파티, Quick-End Party, 성인 새해 파티, 퀵 엔드 파티, Quick-End Party에 적합합니다.
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/5659115.jpg,,,,,,,,,,,,
MOYNAMOTI,Moynamoti,https://retty.me/area/PRE13/ARE13/SUB704/100000699639/,03-3779-4777,카레 인도 카레 인도 음식,"[하루 종일]
 11:00-15:00
 17:30-23:30",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"Riken Fudomae Building 1f, 5-1-13 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Fudomae Station (190m)에서 도쿄 메 구로 라인 / 도보 3 분
JR Yamanote Line / Meguro 역에서 도보 10 분 (800m)
JR Yamanote Line / Gotanda Station 11 분 도보 (850m)",,24 석,예,,없음,http://moyna-moti.com/,,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인 음료, 저녁 식사, 쌀, 급여 지불 제공, 캐주얼, 요리, 요리, 새해 파티, 요리, 새해 파티
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30763440.jpg,,,,,,,,,,,,
桜Dining 左馬 HIDARIUMA,사쿠라 식당 사마 히다리륨,https://retty.me/area/PRE13/ARE13/SUB704/100000051836/,03-6431-9099,말 고기 발 비스트로,"[tue-fri-sat]
 17:00-26:00
[일요일과 휴일]
 17:00-24:00",매주 월요일,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"Meguro Daiichi Building B1F, 1-5-19 Meguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 5 분 (350m)
Tokyu Meguro Line / Fudomae Station에서 도보 13 분 (990m)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",,12 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.hidariuma.net/,,,,,,"날짜는 성인, 성인을위한 숨겨진 장소, 체리 꽃보기 및 벚꽃 시청, 크리스마스 저녁 식사, 와인, 세련된, 저녁, 쌀, 고기, 비영리, 심야, 급여 지불 지불, 캐주얼 등의 레스토랑에 적합합니다.
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31474920.jpg,,,,,,,,,,,,
鉄板焼き 鉄仁,테파 냐키 테핀,https://retty.me/area/PRE13/ARE13/SUB704/100001279372/,명확하지 않습니다,Teppanyaki Steak Okonomiyaki Hamburger,"[월요일부터 금요일과 토요일]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:00-1:00 L.O. 24:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",예,,"1-6-13 메 구로, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 5 분 (400m)
Tokyu Meguro Line / Fudomae 역에서 도보 13 분 (980m)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",,"29 석
(8 개의 카운터 좌석, 5 개의 테이블)","예
(8 개의 카운터 좌석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.facebook.com/teppan.tetsujin/,,,,,"점심, 저녁 식사, 쌀, 고기, 금연, 캐주얼",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30767266.jpg,,,,저녁 식사 시간에만 사용할 수 있습니다,,,,,,,,
丸福,마루 쿠쿠,https://retty.me/area/PRE13/ARE13/SUB704/100001151830/,03-3491-6464,소바 (소바) 일본 요리 이자카야 카레,"점심 : 11 : 00-14 : 45
저녁 식사 : 17 : 00-21 : 45","매주 일요일
마감일이 바뀔 수 있습니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,,"4-29-12 Nishi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae Station에서 도보 1 분 (74m)
JR Yamanote Line / Meguro 역에서 도보 11 분 (840m)
JR Yamanote Line / Gotanda Station 14 분 도보 (1.1km)",,60 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,독신자 OK 금연 캐주얼,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/18279243.jpg,,,,,,,,,,,,
旬和膳 きゅう-Japanese restaurante-,계절 식사 - 일본 식당 -,https://retty.me/area/PRE13/ARE13/SUB704/100001258763/,03-3490-2143,카포/작은 식당 세트 식사 오반자이 일본 음식,"[월요일부터 금요일, 토요일, 휴일]
저녁 식사 17:00-24:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"시마다 빌딩 B1, 2-24-10 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 3 분 (210m)
도쿄 메 구로 라인 / 푸 도마 스테이션 14 분 도보 (1.1km)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 역 16 분 (1.2km)",없음,"30 석
(좌석 20-30)",예,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,,,"4,000 엔에서 4,999 엔, 2 시간 동안 싱글 링크를 포함하는 코스가 있습니다.",우리는 고기 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 사케, 쇼치, 와인, 위스키","개인 객실, 약혼 저녁 식사 파티, 솔로 손님, 엔터테인먼트, 크리스마스 저녁 식사, 음료수, 아이들과 함께 즐기기
다른 사용 장면을 참조하십시오",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34299757.jpg,,예,,사용 가능한 예약,예,,,,,,,
食楽 太太太,쇼라 쿠 타이타,https://retty.me/area/PRE13/ARE13/SUB704/100001247375/,03-6721-9432,"일본 요리, 이자카야, 창의적인 요리","[월요일부터 금요일까지, 휴일]
 18:00-1:00
[토양]
 17:00-24:30",매월 첫 번째 월요일 매월 셋째 월요일마다 일요일마다,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Meguro Business Apartment B1F, 2-15-2 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro Station에서 1 분 거리 (78m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 스테이션 13 분 도보 (1.0km)
도쿄 메 구로 라인 / 푸 도마 스테이션 14 분 도보 (1.1km)","없음
근처 (할인 없음) 사용 가능","24 석
(16 개의 테이블 좌석)","예
(8 개의 카운터 좌석)","불가능합니다
(상점 안에는 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.facebook.com/shokuraku.tatata/,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다",,,"맥주, 사케, 쇼치, 와인, 위스키, awamori","약혼 디너 파티, 솔로 환영, 엔터테인먼트, 크리스마스 저녁 식사, 음료수, 와인, 주차, 세련된, 저녁 식사, 쌀, 비 흡연, 급여 지불 지불, 세련된, 성인 데이트, 세련된, Merikuri
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
숨는 곳",,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001247375/archive/2285214-605c531d3d146.png,,,,사용 가능한 예약,,,,,,,,
アルカション,Arcachon,https://retty.me/area/PRE13/ARE13/SUB704/100000015006/,03-5487-1862,프랑스 요리,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 11:30-15:00
 17:30-23:00",일요일마다 불규칙한 휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
JCB",,"1F, Koma Building, 4-5-20 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (270m)
Tokyu Meguro Line / Fudomae 역에서 도보로 8 분 (580m)
JR Yamanote Line / Gotanda Station 12 분 도보 (910m)",,20 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"점심, 저녁 식사, 저녁 식사, 금연, 성인 데이트, 성인 연말 파티, 성인 새해 파티",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31746381.jpg,,,,,,,,,,,,
