식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,사용 장면,Wi-Fi 사용,전화 번호,영상,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,대기,서비스,예약,아이들이 들어 오세요,드레스 코드,애완 동물,외국어 지원,전원 공급 장치 사용,추가 장비,IC 카드 지불,인스 타 그램,쇼핑 직무 정보,페이스 북,X (트위터),맥주 제작자
上海小籠包厨房阿杏 日比谷店,상하이 Xiaolongbao 주방 Aang Hibiya 매장,https://retty.me/area/PRE13/ARE2/SUB202/100001651729/,03-6910-2888,중국 만두,"11:30 am-3:30pm
5:00 pm-11:00pm",매주 토요일,"점심:-
저녁 식사 : ~ 4,000 엔",,PayPay,"1-7-1 Uchisai-cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 5 분 (330m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (330m)
JR Yamanote Line / Shinbashi Station에서 도보로 5 분 (350m)",,,,,,,,,"PayPay 지불 이용 가능한 성인 연말 파티 빠른 및 최종 파티 세련된 성인의 새해 파티 빠른 및 엔드 파티 캐주얼
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30165156.jpg,,,,,,,,,,,,,,,,,,,
タイ屋台999 日比谷店,태국 음식 스톨 999 Hibiya 지점,https://retty.me/area/PRE13/ARE2/SUB202/100001549619/,03-6550-9390,태국 음식 카레,개막 시간 : 11:30,명확하지 않습니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",,PayPay,"Hibiya Gourmet 1-7 Uchisai-Cho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 (240m)
JR Yamanote Line / Yurakucho 역에서 도보로 3 분 거리 (240m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 4 분 (270m)",,,,,,,https://www.thailand999.com/,,"혼자, 크리스마스 저녁 식사, 세련된, 슈퍼 매운, 급여 지불 지불 가능, 세련된, 캐주얼, 성인 연말 파티, 퀵 엔드 파티, 성인 새해 파티, 퀵 엔드 파티, 퀵 엔드 파티, 퀵 엔드 파티
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36027221.jpg,,,,,,,,,,,,,,,https://www.instagram.com/999thaiyathai/,,https://www.facebook.com/thaiyatai999/,https://x.com/999thaiyathai,
韓豚屋 有楽町店,한보야 유라쿠치 지점,https://retty.me/area/PRE13/ARE2/SUB202/100000014483/,03-3539-3939,한국 음식 이자카야 야키 니쿠,자세한 내용은 공식 웹 사이트를 확인하십시오.,하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Chiyoda Building, 2-1-5 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (130m)
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (130m)
도쿄 메트로 진 자 라인 / Ginza Station에서 도보 2 분 (160m)",예,90 석,없음,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://hantejiya-yurakucho.owst.jp/,,"전가 당신이 먹는 데이트 소녀의 밤 모든 아이들과 함께 즐길 수있는 싱글 싱크 싱크 크리스마스 저녁 식사를 즐기십시오.
다른 사용 장면을 참조하십시오",예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000014483/archive/176202-58ddb90636b2b.jpg,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔, 2 시간 동안 모두 2 시간 동안 싱글 링크가 포함되어 있습니다.","우리는 야채 요리, 고기 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리","개방성이 있습니다
활발한 상점","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",사용 가능한 예약,예,평상복,불가능합니다,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",,,,,,,,
DIYA 東京ミッドタウン日比谷店,디야 도쿄 미드 타운 히비야 매장,https://retty.me/area/PRE13/ARE2/SUB202/100001410966/,050-5462-2505,인도 요리 인도 카레 닭 요리,"[하루 종일]
 11:00-22:30 L.O. 21:30","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",예,PayPay,"도쿄 미드 타운 Hibiya, 1-1-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (73m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (76m)",,60 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://diya-midtownhibiya.foodre.jp/
https://www.hibiya.tokyo-midtown.com/jp/restaurants/22000/",,"작별 파티, 여자 밤, 점심, 세련된 점심, 세련된 점심, 크리스마스 저녁 식사, 크래프트 맥주, 급여 지불 지불, 새해 파티, 점심 시간 음주, 빠르고 쉬운 연말 파티, 빠르고 쉬운 새해 파티, 캐주얼
다른 사용 장면을 참조하십시오",,03-6550-8765,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001410966/archive/2356296-609e16e862e62.jpeg,,,,,,,,,,,,,,,,,,,
九州沖縄食市 有楽町産直横丁,KYUSHU OKINAWA FOOD Market Yurakucho Direct Yokocho,https://retty.me/area/PRE13/ARE2/SUB202/100001522235/,03-6811-1170,현지 요리 현지 요리,"[하루 종일]
 0:00-24:00
점심 11 : 00-15 : 00",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔",,,"Yurakucho 내부 2-1-1, Chiyoda-Ku, 도쿄, Yurakucho Direct Yokocho
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Yurakucho Station에서 도보로 3 분 거리 (200m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (220m)",,,,,,,https://www.hamakura-style.com/works/yurakuchosanchokoyokocho/,,점심 브런치 아침 식사 이용 가능한 첫 번째 기차 저녁 식사가 열릴 때까지 열린 늦은 밤 캐주얼,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/24721553.jpg,,,,,,,,,,,,,,,,,,,
豚の中西 有楽町産直横丁,돼지 고기 Nakanishi Yurakucho Direct Yokocho,https://retty.me/area/PRE13/ARE2/SUB202/100001522241/,03-6807-3355,돼지 고기 요리,"[하루 종일]
 0:00-24:00
점심 11 : 00-15 : 00",하루 종일 개점,,,,"Yurakucho 내부 2-1-1, Chiyoda-Ku, 도쿄, Yurakucho Direct Yokocho
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Yurakucho Station에서 도보로 3 분 거리 (200m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (220m)",,,,,,,https://www.hamakura-style.com/works/yurakuchosanchokoyokocho/,,"점심 브런치 아침 식사 이용 가능한 첫 번째 기차 저녁 식사 쌀 고기가 늦은 밤에 문을 엽니 다.
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/24167516.jpg,,,,,,,,,,,,,,,,,,,
有楽町産直横丁,Yurakucho Direct Yokocho,https://retty.me/area/PRE13/ARE2/SUB202/100001522233/,03-6206-1449,이자카야 해산물과 해산물,"[하루 종일]
 0:00-24:00
점심 11 : 00-15 : 00",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔",,,"Yurakucho 내부 2-1-1, Chiyoda-Ku, 도쿄, Yurakucho Direct Yokocho
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Yurakucho Station에서 도보로 3 분 거리 (200m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (220m)",,,,,,,https://www.hamakura-style.com/works/yurakuchosanchokoyokocho/,,점심 브런치 아침 식사 이용 가능한 첫 번째 기차 저녁 식사가 열릴 때까지 열린 늦은 밤 캐주얼,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2681712.jpg,,,,,,,,,,,,,,,,,,,
蕎麦と炙り焼き 奥出雲,소바 국수와 구운 구운 오쿠즈모,https://retty.me/area/PRE13/ARE2/SUB202/100001328479/,03-6268-0380,이자카야 일본 소바 (Soba),"[월요일부터 금요일까지, 휴일 전]
점심 11:00-14:30 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Yurakucho Electric Building, 1-7-1, Chiyoda-Ku, 도쿄, Yurakucho Electric Building, 1F, Underground, B114, Ward 외부
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (31m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (32m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (170m)",없음,60 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,https://robata-kaba.jp/,,"점심 만세 연회/음주 파티 개인 실
다른 사용 장면을 참조하십시오",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001328479/archive/1317634-5de5b68ab0375.jpg,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","우리는 고기 요리, 생선 요리 및 식품 생산 공간에 특히 그렇습니다.","맥주, 사케, 쇼치, 와인, 위스키",차분한 분위기,,사용 가능한 예약,,,,,,,"Suica, Nanaco, Quicpay",,,,,
花旬庵 日比谷別亭,Hanashunan Hibiya Betsutei,https://retty.me/area/PRE13/ARE2/SUB202/100001404215/,03-3581-5871,소바 (소바),"[하루 종일]
 11:00-22:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",,,"Hibiya Chante B2F, 1-2-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho Station (110m)에서 도보로 2 분
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (110m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (240m)",,,,,,,,,"점심, 솔로, 세련된, 저녁, 쌀, 세련된, 캐주얼, 바삭 바삭한, 연말 파티, 바삭 바삭한, 새해 파티
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33982214.jpg,,,,,,,,,,,,,,,,,,,
完全個室 日本酒×焼き鳥居酒屋 鶏のまるよし有楽町日比谷店,완전히 개인 실시,https://retty.me/area/PRE13/ARE2/SUB202/100001685671/,03-4567-6053,야키토리 이자카야,"[월요일 ~ 목요일]
 16:00-24:00 L.O. 23:30
[금]
 16:00-27:00 L.O. 26:00
[태양/토요일]
 12:00-24:00 L.O. 23:30
*휴일과 휴일 전날은 매일 영업 시간이 적용됩니다.
*4 명 이상의 예약은 11:00에서 16:00 사이에 만들 수 있습니다. 전날 전화로 예약하십시오.",,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"4 층, TS Hibiya Building, 1-2-9 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (140m)
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (140m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (210m)",예,"68 석
(두 사람이 그룹에서 그룹으로 이용할 수있는 바다는 사람들의 수에 따라 배열 될 수 있습니다. Horigotatsu 좌석, 커플 좌석, 원탁 테이블)",,"예
((상점 안에는 흡연 공간이 있습니다) 비 흡연 좌석이 있으므로 언제든지 알려주십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,,"Yurakucho Station] 1 분 도보 [Hibiya Station] 1 분 도보 [Ginza Station] 3 분 도보 / ◆ [완전히 개인 실] 이용 가능 ♪
[JR Yurakucho Station에서 매장에가는 방법]
JR Yurakucho Station/Hibiya 출구의 중앙 웨스트 출구를 나와 왼쪽에있는 스테이션이있는 트랙을 따라 똑바로 향하십시오. 오른쪽에 ""쓰키 국수, 뜨거운 냄비, xi'an cuisine xi'an""을 볼 때 바로 앞서 나가십시오. 오른쪽에는 ""Ramen Horan""이 있으며 TS Hibiya Building의 4 층에 있습니다.","개인 객실, 쌀, 흡연, 흡연, 저녁 식사, 환영 파티, 고기, 사라진, 술, 연회 및 음주 파티, 심야, 어린이와의 재미, 개인 실, 생일, 주간 음주, 엔터테인먼트, 개인 실, 개인 실, 새해 파티, 새해 파티, 캐주얼
다른 사용 장면을 참조하십시오",예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001685671/archive/2964053-63cf6f6df0711.jpg,,,,,,,사용 가능한 예약,예,,,,,,,,,,,
北海道食市 有楽町産直横丁,Hokkaido Food City Yurakucho Direct Yokocho,https://retty.me/area/PRE13/ARE2/SUB202/100001522244/,03-6205-4668,현지 요리 지역 미식가 이자카야,"[하루 종일]
 0:00-24:00
점심 11 : 00-15 : 00",하루 종일 개점,,,,"Yurakucho 내부 2-1-1, Chiyoda-Ku, 도쿄, Yurakucho Direct Yokocho
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Yurakucho Station에서 도보로 3 분 거리 (200m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (220m)",,,,,,,https://www.hamakura-style.com/works/yurakuchosanchokoyokocho/,,"점심 브런치 아침 식사가 첫 번째 기차 저녁 식사 쌀 세련된 점심 늦은 밤 캐주얼 바삭 바삭한 연말 파삭 파삭 한 새해 파티까지 개장합니다.
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35082171.jpg,,,,,,,,,,,,,,,,,,,
モアナキッチンカフェ 有楽町イトシア店,Moana Kitchen Cafe Yurakucho Itsia 지점,https://retty.me/area/PRE13/ARE2/SUB202/100000808389/,03-522-3877,카페 팬케이크 햄버거 하와이 요리,"[하루 종일]
 11:00-22:00 L.O. 21:00","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Yurakucho Itosia B1, 2-7-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 2 분 거리 (83m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (84m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 2 분 (120m)","없음
근처 (할인 없음) 사용 가능",56 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.rincrew.co.jp/moana/,,"점심, 소녀의 밤, 연회 및 음주 파티, 솔로 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인 음료, 주차, 세련된, 저녁 식사, 쌀, 비 흡연, 점심, 소녀의 밤, 스타일리쉬 점심, 이브닝 카페
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000808389/archive/1189205-5da523908a318.jpeg,"2,999 엔 미만의 코스","전 만점 가격 : 1,000 엔 -1,999 엔","우리는 야채 요리, 고기 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 와인, 칵테일","차분한 분위기
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성",사용 가능한 예약,,,,,,,,,,,,
道産酒場きたぎん,Hokkaido Bar Kitagin,https://retty.me/area/PRE13/ARE2/SUB202/100001570149/,사적인,이자카야,"[월요일부터 금요일까지]
점심 11:00-14:00
[월]
저녁 식사 16:00-23:00
[tue-fri]
저녁 식사 16:00-4:00
[토양]
 12:00-4:00
[낮]
 12:00-23:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",,PayPay,"2-1-7 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (130m)
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (130m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (170m)",,,,,,,https://g076865.gorp.jp/,,"점심 첫 번째 열차 저녁 식사가 열릴 때까지 열린 늦은 밤 급여 지불 지불 이용 가능한 세련된 성인 데이트 캐주얼 성인 연말 파티 성인 새해 파티
다른 사용 장면을 참조하십시오",,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28410106.jpg,,,,,,,,,,,,,,,,,,,
トラットリアチャオ,Trattoria chao,https://retty.me/area/PRE13/ARE2/SUB202/100001405526/,03-3506-0035,이탈리아 요리 이자카야,"[Sun, 화요일, 금요일, 토요일 및 휴일]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00
카페 시간이 없습니다",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex",,"2-1-13 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (55m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (58m)
도쿄 메트로 진 자 라인 / Ginza Station에서 도보 2 분 (110m)",없음,100 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명",,,"점심, 데이트, 여자 파티, 전산, 연회, 연회 및 음주 파티, 개인 객실, 싱글, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인을 마시고, 아이들과 함께 즐기고, 스타일리쉬, 영어를 사용하는 이용 가능
다른 사용 장면을 참조하십시오",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001405526/archive/223751-602e143b5bd25.jpg,"5,000 ~ 5,999 엔 코스로 제공됩니다","4,000 엔에서 4,999 엔까지 이용할 수 있습니다",,와인과 칵테일이 있습니다,"개방성이 있습니다
활발한 상점","놀라운 응답 가능
축하 가능성",사용 가능한 예약,예,평상복,불가능합니다,"영어
언어 지원 메뉴가 있습니다",불가능합니다,,,,,,,
